Brand,model,Age,kmDriven,Transmission,Owner,FuelType,AskPrice,km_per_year,post_year,post_month
Mercedes-Benz,C-Class,9,58000,Automatic,first,Diesel,2149999,6444,2026,11
Toyota,Fortuner,0,2596,Manual,first,Diesel,2422500,2596,2026,11
Mahindra,Thar,1,24500,Automatic,first,Petrol,1410000,24500,2026,11
Honda,City,3,125000,Manual,first,Diesel,1075000,27750,2026,11
Maruti Suzuki,Ciaz,7,168500,Automatic,second,Petrol,600000,27750,2026,11
Toyota,Innova Crysta,5,118000,Automatic,second,Diesel,1999000,23600,2026,11
BMW,5 Series,7,75000,Automatic,first,Diesel,2422500,10714,2026,9
Mahindra,Bolero,7,105000,Manual,second,Diesel,620000,15000,2026,11
Maruti Suzuki,Maruti-Suzuki-Brezza,3,35000,Manual,first,Petrol,851000,11667,2026,11
Audi,A8 L,7,168500,Automatic,first,Diesel,2422500,27750,2026,5
Kia,Seltos,2,30891,Automatic,first,Diesel,1875000,15446,2026,11
Hyundai,Alcazar,1,2500,Automatic,first,Petrol,1800000,2500,2026,11
Maruti Suzuki,Swift,5,32000,Manual,second,Petrol,575000,6400,2026,11
Mahindra,Thar,3,168500,Manual,first,Diesel,1425000,27750,2026,11
Volvo,V40 Cross Country,8,75000,Automatic,first,Petrol,1375000,9375,2026,11
